"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6gk8VcqpxqiSkUPg6wodZ8","Pascolare","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","spotify:album:0ISl1KHwbmQIJBe0TOWqGk","Volevo Magia","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","2022-09-23","https://i.scdn.co/image/ab67616d0000b2737d4d83bfbdf94ad858080dab","1","3","216453","","false","38","ITUM72201169","","2023-01-25T00:49:12Z"
"spotify:track:1YIXLXx34DlSNl6DXC6Avu","Sui Ghiacciai","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","spotify:album:0ISl1KHwbmQIJBe0TOWqGk","Volevo Magia","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","2022-09-23","https://i.scdn.co/image/ab67616d0000b2737d4d83bfbdf94ad858080dab","1","7","221413","","false","38","ITUM72201173","","2023-01-25T00:49:12Z"
"spotify:track:0eXESbsLqIzKkvXUmkVqDO","Paul e Linda","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","spotify:album:0ISl1KHwbmQIJBe0TOWqGk","Volevo Magia","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","2022-09-23","https://i.scdn.co/image/ab67616d0000b2737d4d83bfbdf94ad858080dab","1","2","218560","","true","40","ITUM72201168","","2023-01-25T00:49:11Z"
"spotify:track:5MkEEk4hLNvhLAQ3MtrM3s","Muori Delay","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","spotify:album:164aeXgFJXuvB8v28iWkQP","Requiem","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","2007-01-01","https://i.scdn.co/image/ab67616d0000b273a494a68e3c923be82c383e11","1","10","161800","","false","40","ITUM70700211","","2023-01-25T00:49:10Z"
"spotify:track:4rJZeYt6ArHcnPova0Hgtw","Crystal Ball","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","spotify:album:0ISl1KHwbmQIJBe0TOWqGk","Volevo Magia","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","2022-09-23","https://i.scdn.co/image/ab67616d0000b2737d4d83bfbdf94ad858080dab","1","5","174026","","false","41","ITUM72201171","","2023-01-25T00:49:09Z"
"spotify:track:5gBB6pY1xJ23DGpsf5eoij","Nevischio","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","spotify:album:0PuCAzNG1GuC5hXzSUw2Uk","Endkadenz Vol. 1","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","2015-01-27","https://i.scdn.co/image/ab67616d0000b273b26e174b7d2299d7669530d9","1","5","173973","","false","42","ITUM71401820","","2023-01-25T00:49:09Z"
"spotify:track:6IyihRZcpih650oMNVVcKJ","Chaise Longue","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","spotify:album:0ISl1KHwbmQIJBe0TOWqGk","Volevo Magia","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","2022-09-23","https://i.scdn.co/image/ab67616d0000b2737d4d83bfbdf94ad858080dab","1","1","220186","","false","43","ITUM72201167","","2023-01-25T00:49:08Z"
"spotify:track:0GMnES4HiZpPOAham6DiH9","Valvonauta","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","spotify:album:1GvHRyMV8Kk69XwlNUwkXR","Verdena","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","1999-01-01","https://i.scdn.co/image/ab67616d0000b27316d6ad5309e783de89dd1f2e","1","2","262773","","false","43","IT7009915720","","2023-01-25T00:49:07Z"
"spotify:track:4TqKOAz8Sa7M89SlNSHSFh","Trovami Un Modo Semplice Per Uscirne","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","spotify:album:164aeXgFJXuvB8v28iWkQP","Requiem","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","2007-01-01","https://i.scdn.co/image/ab67616d0000b273a494a68e3c923be82c383e11","1","11","213866","","false","45","ITUM70700242","","2023-01-25T00:49:07Z"
"spotify:track:2csrNRw79byYY48HPXWuDo","Luna","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","spotify:album:3QiP2ZrWsRsO74SkWyomrM","Il suicidio dei Samurai","spotify:artist:058thnz6odaxoAN4n3cMBN","Verdena","2004-01-01","https://i.scdn.co/image/ab67616d0000b273477f5b42fc6f85728f6d814d","1","2","212306","","false","45","IT7000300404","","2023-01-25T00:49:06Z"
